"Run","تشغيل"
"Update Success","تم التحديث بنجاح"
"Something went wrong.","لقد حدث خطاء ما."
"Product Slider","منتجات شريط العرض"
"Multiple Lines","اسطر متعددة"
"At the top of the page","في الجزء العلوي من الصفحة"
"At the bottom of the page","في أسفل الصفحة"
"Price","السعر"
"Add to cart","أضف إلى السلّة"
"Review","المراجعة"
"Add to Wish List & Add to Compare","اضف الى قائمة المفضلة و اضف للمقارنة"
"Add to Cart","أضف إلى السلة"
"In stock","في المخزن"
"Out of stock","إنتهى من المخزن"
"MageMoto Who Bought This Item Also Bought","ماجيبلازا الذين اشتروا هذا المنتج اشتروا أيضا"
"Who Bought This Item Also Bought","الذي اشترى هذا البند أيضا اشترى"
"General Configuration","الاعدادات العامة"
"Enable Who Bought This Item Also Bought","تمكين الذين اشتروا هذا البند أيضا اشترى"
"Select Yes to enable this module.","حدد نعم لتمكين هذه الوحدة."
"Process Order With Status","أمر العملية مع الحالة"
"Select the order status which the module uses to suggest the products displayed in the block.","حدد حالة الطلب التي تستخدمها الوحدة لاقتراح المنتجات المعروضة في الكتلة."
"Number of products displayed in the frontend","عدد المنتجات المعروضة في الواجهة الأمامية"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","أدخل الحد الأقصى لعدد المنتجات المعروضة في الكتلة (اترك فارغة أو 0 لعرض جميع المنتجات المقترحة)."
"Reindex","الفهرسة"
"Click on Run when the module is installed/enabled or when Process Order With Status is reselected.<br><strong>Notice:</strong><br><span style=""padding-left: 2em;"">In case your online store has excessive number of products and orders, please use the command line to run Reindex not to create any negative impact on the website.</span><br><br><code>php bin/magento alsobought:reindex</code>","انقر على تشغيل عند تثبيت الوحدة / تمكينها أو عند إعادة ترتيب العملية مع الحالة. <br><strong> ملاحظة: </strong><br><span style=""padding-left: 2em;""> في حالة وجود عدد كبير من المنتجات والأوامر على متجرك عبر الإنترنت، يرجى استخدام سطر الأوامر لتشغيل رايندكس لعدم إنشاء أي تأثير سلبي على website.</span><br><br><code>php بن / ماجينتو ألسوبوت: reindex</code>"
"Display on Product Page","عرض على صفحة المنتج"
"Enabled","تمكين"
"Select Yes to display the block on the Product Page","حدد نعم لعرض الكتلة على صفحة المنتج"
"Title of block","عنوان الكتلة"
"Enter the block’s name. E.g: Who bought this item also bought","أدخل اسم الكتلة. على سبيل المثال: الذين اشتروا هذا البند اشترى أيضا"
"Position","موضع"
"Select the position of the page where the block appears","حدد موضع الصفحة حيث تظهر الكتلة"
"Layout","نسق"
"Select the layout of suggested products in the frontend","حدد تخطيط المنتجات المقترحة في الواجهة الأمامية"
"Show List","إظهار القائمة"
"Select option(s) above to display them along with products","حدد الخيار (الخيارات) أعلاه لعرضها مع المنتجات"
"Display on Catalog Page","عرض على صفحة الكتالوج"
"Select Yes to display the block on the Catalog Page","حدد نعم لعرض الكتلة في صفحة الكتالوج"
"Display on Cart Page","عرض على صفحة العربة"
"Select Yes to display the block on the Cart Page","حدد نعم لعرض الكتلة على صفحة السلة"
