"Run","koş"
"Update Success","Güncelleme Başarı"
"Something went wrong.","Bir şeyler yanlış gitti."
"Product Slider","Ürün Kaydırıcısı"
"Multiple Lines","Çoklu Hatlar"
"At the top of the page","Sayfanın üst kısmında"
"At the bottom of the page","Sayfanın sonunda"
"Price","Fiyat"
"Add to cart","Sepete ekle"
"Review","gözden geçirmek"
"Add to Wish List & Add to Compare","İstek Listesine Ekle ve Karşılaştırma Listesine Ekle"
"Add to Cart","Sepete ekle"
"In stock","Stokta var"
"Out of stock","Stoklar tükendi"
"MageMoto Who Bought This Item Also Bought","Bu Ürünü Alınan MageMoto Satın Alın"
"Who Bought This Item Also Bought","Bu Ürün Satın Alın"
"General Configuration","Genel Yapılandırma"
"Enable Who Bought This Item Also Bought","Bu Kutu Tarafından Satın Alınan Ürün Hakkı Satın Alın"
"Select Yes to enable this module.","Bu modülü etkinleştirmek için Evet seçeneğini belirleyin."
"Process Order With Status","Durumu İle İşleme Sırası"
"Select the order status which the module uses to suggest the products displayed in the block.","Blokta görüntülenen ürünleri önermek için modülün kullandığı sipariş durumunu seçin."
"Number of products displayed in the frontend","Ön uçta görüntülenen ürünlerin sayısı"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Blokta görüntülenen maksimum ürün sayısını girin (Önerilen tüm ürünleri görüntülemek için boş bırakın veya 0 yazın)."
"Reindex","reindex"
"Click on Run when the module is installed/enabled or when Process Order With Status is reselected.<br><strong>Notice:</strong><br><span style=""padding-left: 2em;"">In case your online store has excessive number of products and orders, please use the command line to run Reindex not to create any negative impact on the website.</span><br><br><code>php bin/magento alsobought:reindex</code>","Modül kurulduktan / etkinleştirildiğinde veya Durum İle İşleme Sırası yeniden seçildiğinde Çalıştır'ı tıklayın.<br><strong>Notice: </strong><br><br><br>123_4_331_321<span style=""padding-left: 2em;"">Eğer çevrimiçi mağazanızın aşırı sayıda ürün ve siparişleri varsa, Reindex'i çalıştırmak için lütfen komut satırı kullanıp Web sitesi.</span><br><br><code>php bin / magento ayrıca satın alındı: reindex</code>"
"Display on Product Page","Ürün Sayfasında Görüntüleniyor"
"Enabled","Etkin"
"Select Yes to display the block on the Product Page","Ürün Sayfasında bloğu görüntülemek için Evet'i seçin."
"Title of block","Blok başlığı"
"Enter the block’s name. E.g: Who bought this item also bought","Blokun adını girin. Ör: Bu kaydı satın alanlar"
"Position","pozisyon"
"Select the position of the page where the block appears","Blokun göründüğü sayfanın konumunu seçin"
"Layout","düzen"
"Select the layout of suggested products in the frontend","Ön uçtaki önerilen ürünleri düzenini seçin"
"Show List","Listeyi Göster"
"Select option(s) above to display them along with products","Ürünlerle birlikte görüntülemek için yukarıdaki seçeneği belirtin"
"Display on Catalog Page","Katalog Sayfasında Görüntüleniyor"
"Select Yes to display the block on the Catalog Page","Bloğu Katalog Sayfasında görüntülemek için Evet'i seçin"
"Display on Cart Page","Sepet Sayfasında Göster"
"Select Yes to display the block on the Cart Page","Bloku, Sepet Sayfasında görüntülemek için Evet'i seçin."
